Variable1,Variable2,Correlation,P-Value
DERS_Total Score Norm,CERQ_Positive Refocusing,-0.48793174334621264,6.090965139325772e-07
DERS_Total Score Norm,CERQ_Refocusing on Planning,-0.5518529630134643,8.156906493580153e-09
DERS_Total Score Norm,CERQ_Positive Reappraisal,-0.6996899263381342,4.310114906633171e-15
DERS_Total Score Norm,CERQ_Putting into Perspective,-0.5217764862669877,6.933509800969043e-08
DERS_Total Score Norm,CERQ_Catastrophizing,0.6296332274694711,1.0622084694198882e-11
DERS_Non-Acceptance of Emotional Reactions Norm,DERS_Problems with Goal-Oriented Behavior Norm,0.5482297222663427,1.0675192335628077e-08
DERS_Non-Acceptance of Emotional Reactions Norm,DERS_Impulse Control Problems Norm,0.46575131646788415,2.2404769382726162e-06
DERS_Non-Acceptance of Emotional Reactions Norm,DERS_Lack of Emotional Awareness Norm,0.4861759137019481,6.775257144139318e-07
DERS_Non-Acceptance of Emotional Reactions Norm,DERS_Limited Access to Emotion Regulation Strategies Norm,0.6586526830842462,5.372313431739603e-13
DERS_Non-Acceptance of Emotional Reactions Norm,DERS_Lack of Emotional Clarity Norm,0.585421691169698,5.747815358896321e-10
DERS_Non-Acceptance of Emotional Reactions Norm,DERS_Non-Acceptance of Emotional Reactions,0.9976944695688407,2.7017408555320107e-109
DERS_Non-Acceptance of Emotional Reactions Norm,DERS_Problems with Goal-Oriented Behavior,0.5510425632010112,8.665263768157426e-09
DERS_Non-Acceptance of Emotional Reactions Norm,DERS_Impulse Control Problems,0.467367566260642,2.0438483422847158e-06
DERS_Non-Acceptance of Emotional Reactions Norm,DERS_Lack of Emotional Awareness,0.4786865767731893,1.0599697509229286e-06
DERS_Non-Acceptance of Emotional Reactions Norm,DERS_Limited Access to Emotion Regulation Strategies,0.6587052251507686,5.341777961261924e-13
DERS_Non-Acceptance of Emotional Reactions Norm,DERS_Lack of Emotional Clarity,0.5828913352271048,7.094607233061488e-10
DERS_Non-Acceptance of Emotional Reactions Norm,CERQ_Self-Blame Norm,0.42723013269075466,1.7511037990429632e-05
DERS_Non-Acceptance of Emotional Reactions Norm,CERQ_Rumination Norm,0.45221692064873703,4.748152691562946e-06
DERS_Non-Acceptance of Emotional Reactions Norm,CERQ_Positive Reappraisal Norm,-0.513799547050377,1.1821286237004656e-07
DERS_Non-Acceptance of Emotional Reactions Norm,CERQ_Catastrophizing Norm,0.5176634363274905,9.144685314645687e-08
DERS_Non-Acceptance of Emotional Reactions Norm,CERQ_Self-Blame,0.42723013269075466,1.7511037990429632e-05
DERS_Non-Acceptance of Emotional Reactions Norm,CERQ_Rumination,0.45221784496492407,4.747914312066463e-06
DERS_Non-Acceptance of Emotional Reactions Norm,CERQ_Positive Reappraisal,-0.5137995470503769,1.1821286237004656e-07
DERS_Non-Acceptance of Emotional Reactions Norm,CERQ_Catastrophizing,0.5176653833358411,9.143495034237667e-08
DERS_Problems with Goal-Oriented Behavior Norm,DERS_Impulse Control Problems Norm,0.5987617295565446,1.837631789007001e-10
DERS_Problems with Goal-Oriented Behavior Norm,DERS_Limited Access to Emotion Regulation Strategies Norm,0.7564533160070871,1.1823902330353882e-18
DERS_Problems with Goal-Oriented Behavior Norm,DERS_Lack of Emotional Clarity Norm,0.4940534898888187,4.18254171254226e-07
DERS_Problems with Goal-Oriented Behavior Norm,DERS_Non-Acceptance of Emotional Reactions,0.545550442491035,1.2998557073268097e-08
DERS_Problems with Goal-Oriented Behavior Norm,DERS_Problems with Goal-Oriented Behavior,0.9997843202122175,1.316490114734252e-156
DERS_Problems with Goal-Oriented Behavior Norm,DERS_Impulse Control Problems,0.612903099040603,5.173544174087157e-11
DERS_Problems with Goal-Oriented Behavior Norm,DERS_Limited Access to Emotion Regulation Strategies,0.7571951240377057,1.0467529775721871e-18
DERS_Problems with Goal-Oriented Behavior Norm,DERS_Lack of Emotional Clarity,0.4931555995584341,4.421635767819439e-07
DERS_Problems with Goal-Oriented Behavior Norm,CERQ_Rumination Norm,0.45501461916682595,4.076020433656577e-06
DERS_Problems with Goal-Oriented Behavior Norm,CERQ_Positive Reappraisal Norm,-0.5715521480715146,1.7831234483599215e-09
DERS_Problems with Goal-Oriented Behavior Norm,CERQ_Catastrophizing Norm,0.490534323670259,5.196031573756946e-07
DERS_Problems with Goal-Oriented Behavior Norm,CERQ_Rumination,0.45501447290981323,4.076053101586412e-06
DERS_Problems with Goal-Oriented Behavior Norm,CERQ_Positive Reappraisal,-0.5715521480715142,1.783123448359878e-09
DERS_Problems with Goal-Oriented Behavior Norm,CERQ_Catastrophizing,0.49053478422038804,5.195884854892331e-07
DERS_Impulse Control Problems Norm,DERS_Limited Access to Emotion Regulation Strategies Norm,0.6949780357827449,7.8137323480144e-15
DERS_Impulse Control Problems Norm,DERS_Non-Acceptance of Emotional Reactions,0.474138848405104,1.383853365866365e-06
DERS_Impulse Control Problems Norm,DERS_Problems with Goal-Oriented Behavior,0.5997795611631945,1.6808673723943178e-10
DERS_Impulse Control Problems Norm,DERS_Impulse Control Problems,0.9973385074568939,1.9794177894616887e-106
DERS_Impulse Control Problems Norm,DERS_Limited Access to Emotion Regulation Strategies,0.6934193277168647,9.489454891435972e-15
DERS_Impulse Control Problems Norm,CERQ_Rumination Norm,0.4737210657721051,1.4178966927100271e-06
DERS_Impulse Control Problems Norm,CERQ_Positive Refocusing Norm,-0.44605873014730557,6.612888775268663e-06
DERS_Impulse Control Problems Norm,CERQ_Positive Reappraisal Norm,-0.5342607875104542,2.9251521473322066e-08
DERS_Impulse Control Problems Norm,CERQ_Catastrophizing Norm,0.5089009408120984,1.6294781286870123e-07
DERS_Impulse Control Problems Norm,CERQ_Rumination,0.47372224933598345,1.4177991400906034e-06
DERS_Impulse Control Problems Norm,CERQ_Positive Refocusing,-0.44605756192333934,6.6133003295317365e-06
DERS_Impulse Control Problems Norm,CERQ_Positive Reappraisal,-0.5342607875104538,2.92515214733224e-08
DERS_Impulse Control Problems Norm,CERQ_Catastrophizing,0.5088972042051582,1.6298739724751196e-07
DERS_Lack of Emotional Awareness Norm,DERS_Lack of Emotional Clarity Norm,0.5386845510941587,2.1362932568310396e-08
DERS_Lack of Emotional Awareness Norm,DERS_Non-Acceptance of Emotional Reactions,0.4906079890198671,5.172613649568938e-07
DERS_Lack of Emotional Awareness Norm,DERS_Lack of Emotional Awareness,0.9813837894425396,1.0055535788896568e-67
DERS_Lack of Emotional Awareness Norm,DERS_Lack of Emotional Clarity,0.5394187905135928,2.0268270725150974e-08
DERS_Lack of Emotional Awareness Norm,CERQ_Refocusing on Planning Norm,-0.47842909460306154,1.076202996636557e-06
DERS_Lack of Emotional Awareness Norm,CERQ_Refocusing on Planning,-0.47842828345950167,1.0762545058617194e-06
DERS_Limited Access to Emotion Regulation Strategies Norm,DERS_Lack of Emotional Clarity Norm,0.6425263998156441,2.933742437919617e-12
DERS_Limited Access to Emotion Regulation Strategies Norm,DERS_Non-Acceptance of Emotional Reactions,0.660439142563592,4.4229926712433016e-13
DERS_Limited Access to Emotion Regulation Strategies Norm,DERS_Problems with Goal-Oriented Behavior,0.7580748781863238,9.054016990087151e-19
DERS_Limited Access to Emotion Regulation Strategies Norm,DERS_Impulse Control Problems,0.701229482172429,3.5398220588878943e-15
DERS_Limited Access to Emotion Regulation Strategies Norm,DERS_Limited Access to Emotion Regulation Strategies,0.9999661042163368,1.4210942831260143e-193
DERS_Limited Access to Emotion Regulation Strategies Norm,DERS_Lack of Emotional Clarity,0.6424117944060079,2.9682843885021274e-12
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Self-Blame Norm,0.4548064963395007,4.122757180436789e-06
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Rumination Norm,0.5165077900082782,9.8778164889769e-08
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Positive Refocusing Norm,-0.5377421755916221,2.2850772512483204e-08
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Refocusing on Planning Norm,-0.5165634637135733,9.841250830837638e-08
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Positive Reappraisal Norm,-0.6843636694169897,2.8650483504109834e-14
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Putting into Perspective Norm,-0.5173646725747374,9.329089367414325e-08
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Catastrophizing Norm,0.6454009552526869,2.183800758639174e-12
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Self-Blame,0.4548064963395008,4.122757180436751e-06
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Rumination,0.5165100870064113,9.876305300718694e-08
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Positive Refocusing,-0.5377395646140314,2.285502895190468e-08
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Refocusing on Planning,-0.5165610409909943,9.842839353936861e-08
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Positive Reappraisal,-0.6843636694169892,2.8650483504109834e-14
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Putting into Perspective,-0.5173630619510197,9.330093008917548e-08
DERS_Limited Access to Emotion Regulation Strategies Norm,CERQ_Catastrophizing,0.6454009072641589,2.1838115782367834e-12
DERS_Lack of Emotional Clarity Norm,DERS_Non-Acceptance of Emotional Reactions,0.5745461626727215,1.4027339429481378e-09
DERS_Lack of Emotional Clarity Norm,DERS_Problems with Goal-Oriented Behavior,0.49793940718779933,3.282136583075713e-07
DERS_Lack of Emotional Clarity Norm,DERS_Lack of Emotional Awareness,0.5738031735222339,1.4891295399645824e-09
DERS_Lack of Emotional Clarity Norm,DERS_Limited Access to Emotion Regulation Strategies,0.6440412033775106,2.5120527406307004e-12
DERS_Lack of Emotional Clarity Norm,DERS_Lack of Emotional Clarity,0.9998108443398646,3.148664655905042e-159
DERS_Lack of Emotional Clarity Norm,CERQ_Refocusing on Planning Norm,-0.48421671190854043,7.624622126544393e-07
DERS_Lack of Emotional Clarity Norm,CERQ_Positive Reappraisal Norm,-0.4889001873605763,5.742113895177123e-07
DERS_Lack of Emotional Clarity Norm,CERQ_Putting into Perspective Norm,-0.47010110212076367,1.7478943149063745e-06
DERS_Lack of Emotional Clarity Norm,CERQ_Refocusing on Planning,-0.4842150803479901,7.625369750975138e-07
DERS_Lack of Emotional Clarity Norm,CERQ_Positive Reappraisal,-0.4889001873605755,5.742113895177123e-07
DERS_Lack of Emotional Clarity Norm,CERQ_Putting into Perspective,-0.47009990747196595,1.7480143250798538e-06
DERS_Non-Acceptance of Emotional Reactions,DERS_Problems with Goal-Oriented Behavior,0.5478578983792738,1.0972074654913308e-08
DERS_Non-Acceptance of Emotional Reactions,DERS_Impulse Control Problems,0.47278620675382305,1.496965060929373e-06
DERS_Non-Acceptance of Emotional Reactions,DERS_Lack of Emotional Awareness,0.4762948836712047,1.2201117309469004e-06
DERS_Non-Acceptance of Emotional Reactions,DERS_Limited Access to Emotion Regulation Strategies,0.6600624563437948,4.608605249428379e-13
DERS_Non-Acceptance of Emotional Reactions,DERS_Lack of Emotional Clarity,0.5722870456484553,1.6815124649738192e-09
DERS_Non-Acceptance of Emotional Reactions,CERQ_Self-Blame Norm,0.425252940562385,1.9332186087606937e-05
DERS_Non-Acceptance of Emotional Reactions,CERQ_Rumination Norm,0.45494894777617007,4.090713623725964e-06
DERS_Non-Acceptance of Emotional Reactions,CERQ_Positive Reappraisal Norm,-0.5098380845583633,1.5330347539709453e-07
DERS_Non-Acceptance of Emotional Reactions,CERQ_Catastrophizing Norm,0.519200976449052,8.24927275806802e-08
DERS_Non-Acceptance of Emotional Reactions,CERQ_Self-Blame,0.42525294056238494,1.9332186087606937e-05
DERS_Non-Acceptance of Emotional Reactions,CERQ_Rumination,0.4549496484769938,4.090556587158291e-06
DERS_Non-Acceptance of Emotional Reactions,CERQ_Positive Reappraisal,-0.5098380845583631,1.5330347539709453e-07
DERS_Non-Acceptance of Emotional Reactions,CERQ_Catastrophizing,0.5192029510807723,8.248178401415104e-08
DERS_Problems with Goal-Oriented Behavior,DERS_Impulse Control Problems,0.6138542153210048,4.7400268877656336e-11
