Variable1,Variable2,Correlation,P-Value,Significant
Sex_f1_m2,DERS_Impulse Control Problems Norm,-0.13606407899013714,0.19099883878746512,False
Sex_f1_m2,DERS_Lack of Emotional Awareness Norm,-0.10447859091804106,0.3162711062120753,False
Sex_f1_m2,DERS_Limited Access to Emotion Regulation Strategies Norm,0.031220677745790276,0.765154858562898,False
Sex_f1_m2,DERS_Lack of Emotional Clarity Norm,0.17723978227241668,0.08745654851144753,False
Sex_f1_m2,DERS_Non-Acceptance of Emotional Reactions,-0.07874946349309811,0.45057216728577487,False
Sex_f1_m2,DERS_Problems with Goal-Oriented Behavior,0.13069364489927454,0.2092751701720055,False
Sex_f1_m2,DERS_Impulse Control Problems,-0.06611626872268862,0.5266438533497717,False
Sex_f1_m2,DERS_Lack of Emotional Awareness,0.0884693805198546,0.3964768223115633,False
Sex_f1_m2,DERS_Limited Access to Emotion Regulation Strategies,0.03727131663784151,0.7213554734451824,False
Sex_f1_m2,DERS_Lack of Emotional Clarity,0.1864541628421227,0.0719606171162528,False
Sex_f1_m2,CERQ_Self-Blame Norm,0.058648549680219764,0.5744605740636506,False
Sex_f1_m2,CERQ_Acceptance Norm,0.01995521691281086,0.8486013244828092,False
Sex_f1_m2,CERQ_Rumination Norm,-0.038006513592950764,0.7160910543039087,False
Sex_f1_m2,CERQ_Positive Refocusing Norm,-0.13228738893151468,0.20372608391357502,False
Sex_f1_m2,CERQ_Refocusing on Planning Norm,-0.1367602888579372,0.1887169103906145,False
Sex_f1_m2,CERQ_Positive Reappraisal Norm,-0.1441293189551849,0.16576623245814642,False
Sex_f1_m2,CERQ_Putting into Perspective Norm,-0.2263392317945029,0.028261973231837625,False
Sex_f1_m2,CERQ_Catastrophizing Norm,0.0007559313931969409,0.9942305753012506,False
Sex_f1_m2,CERQ_Other-Blame Norm,0.09857707707861521,0.34452752608012793,False
Sex_f1_m2,CERQ_Self-Blame,0.05864854968021968,0.5744605740636506,False
Sex_f1_m2,CERQ_Acceptance,0.019957160520934332,0.8485867538667065,False
Sex_f1_m2,CERQ_Rumination,-0.038003200083078836,0.716114751340776,False
Sex_f1_m2,CERQ_Positive Refocusing,-0.13228723402123338,0.20372661810951806,False
Sex_f1_m2,CERQ_Refocusing on Planning,-0.13675505446584119,0.18873399275804442,False
Sex_f1_m2,CERQ_Positive Reappraisal,-0.14412931895518485,0.16576623245814642,False
Sex_f1_m2,CERQ_Putting into Perspective,-0.2263363162296994,0.028264060815988448,False
Sex_f1_m2,CERQ_Catastrophizing,0.0007567771848201686,0.994224120155533,False
Sex_f1_m2,CERQ_Other-Blame,0.09857699722268741,0.34452791883542055,False
Group_MDD1_HC2,Age,0.05356155195533859,0.6081481721005849,False
Group_MDD1_HC2,Sex_f1_m2,-0.1108125517790142,0.2876589717947362,False
Group_MDD1_HC2,Group_MDD1_HC2,1.0,0.0,True
Group_MDD1_HC2,Factor1,0.24896621816513784,0.015531072919395813,False
Group_MDD1_HC2,Factor2,0.5790805830849098,9.708421559522068e-10,True
Group_MDD1_HC2,Factor3,-0.0798714996073191,0.4441254075406798,False
Group_MDD1_HC2,Factor4,-0.10922149912029144,0.29467916348579803,False
Group_MDD1_HC2,Factor5,-0.6016177033858617,1.4297257565225013e-10,True
Group_MDD1_HC2,BVAQ_New,-0.39125088516891604,9.651324864092954e-05,False
Group_MDD1_HC2,BDI-II Sum score,-0.7872127172286265,5.076805501039994e-21,True
Group_MDD1_HC2,STAI2,-0.8542408198441445,7.054807286619056e-28,True
Group_MDD1_HC2,STAI1,-0.6662701765749993,2.323086923736034e-13,True
Group_MDD1_HC2,WMS Correct Norm,0.11865711826169974,0.2546780263854503,False
Group_MDD1_HC2,WMS Correct,0.13049112484803532,0.20998793986475797,False
Group_MDD1_HC2,DigitSpan_Forwards_Span,0.06606273299793695,0.5269793970738955,False
Group_MDD1_HC2,DigitSpan_ForwardsTotal Score,0.13803807630206674,0.1845803504895531,False
Group_MDD1_HC2,DigitSpan_Backwards_Span,0.10195657791260421,0.3281581071556062,False
Group_MDD1_HC2,DigitSpan_Backwards_Total Score,0.16677730611657032,0.1081410833059204,False
Group_MDD1_HC2,DERS_Total Score,-0.7697808130015118,1.2364680259207254e-19,True
Group_MDD1_HC2,DERS_Total Score Norm,-0.7682185646601022,1.6236780149011334e-19,True
Group_MDD1_HC2,DERS_Non-Acceptance of Emotional Reactions Norm,-0.5558119136064924,6.056867268655917e-09,True
Group_MDD1_HC2,DERS_Problems with Goal-Oriented Behavior Norm,-0.7054384524848725,2.0531281743912816e-15,True
Group_MDD1_HC2,DERS_Impulse Control Problems Norm,-0.4610575143108132,2.9177243655416837e-06,True
Group_MDD1_HC2,DERS_Lack of Emotional Awareness Norm,-0.39160729580076514,9.498441515502414e-05,False
Group_MDD1_HC2,DERS_Limited Access to Emotion Regulation Strategies Norm,-0.7907743079313053,2.5483373033679227e-21,True
Group_MDD1_HC2,DERS_Lack of Emotional Clarity Norm,-0.5804377581840353,8.686312201435749e-10,True
Group_MDD1_HC2,DERS_Non-Acceptance of Emotional Reactions,-0.5537789804382107,7.060618788421714e-09,True
Group_MDD1_HC2,DERS_Problems with Goal-Oriented Behavior,-0.7079609425312732,1.4744842561938196e-15,True
Group_MDD1_HC2,DERS_Impulse Control Problems,-0.4726098601095964,1.512339951821577e-06,True
Group_MDD1_HC2,DERS_Lack of Emotional Awareness,-0.41377352380273935,3.392447883584214e-05,False
Group_MDD1_HC2,DERS_Limited Access to Emotion Regulation Strategies,-0.7915775609688241,2.177432289379905e-21,True
Group_MDD1_HC2,DERS_Lack of Emotional Clarity,-0.5805770726152805,8.587436583613346e-10,True
Group_MDD1_HC2,CERQ_Self-Blame Norm,-0.4072664860836193,4.624436209114556e-05,False
Group_MDD1_HC2,CERQ_Acceptance Norm,0.09049750943805118,0.3856965646935925,False
Group_MDD1_HC2,CERQ_Rumination Norm,-0.3913524927050803,9.607508788754534e-05,False
Group_MDD1_HC2,CERQ_Positive Refocusing Norm,0.4525624265406168,4.659828480019259e-06,True
Group_MDD1_HC2,CERQ_Refocusing on Planning Norm,0.4068662011963889,4.712431350719891e-05,False
Group_MDD1_HC2,CERQ_Positive Reappraisal Norm,0.6381769195715739,4.558931057783312e-12,True
Group_MDD1_HC2,CERQ_Putting into Perspective Norm,0.49912547417177633,3.0462227552293266e-07,True
Group_MDD1_HC2,CERQ_Catastrophizing Norm,-0.5145198230033904,1.1271589425056084e-07,True
Group_MDD1_HC2,CERQ_Other-Blame Norm,-0.25325329356857523,0.01378491522251245,False
Group_MDD1_HC2,CERQ_Self-Blame,-0.4072664860836195,4.624436209114556e-05,False
Group_MDD1_HC2,CERQ_Acceptance,0.09049591988480679,0.38570494418087775,False
Group_MDD1_HC2,CERQ_Rumination,-0.3913558717814432,9.606054813032712e-05,False
Group_MDD1_HC2,CERQ_Positive Refocusing,0.4525603240855065,4.660361234766712e-06,True
Group_MDD1_HC2,CERQ_Refocusing on Planning,0.4068652669686667,4.712638537283185e-05,False
Group_MDD1_HC2,CERQ_Positive Reappraisal,0.6381769195715734,4.558931057783376e-12,True
Group_MDD1_HC2,CERQ_Putting into Perspective,0.4991228738126895,3.046721907133347e-07,True
Group_MDD1_HC2,CERQ_Catastrophizing,-0.5145231258415378,1.1269125730649615e-07,True
Group_MDD1_HC2,CERQ_Other-Blame,-0.253252871569263,0.013785078345623016,False
Factor1,Age,0.04769832574418412,0.6480126202648739,False
Factor1,Sex_f1_m2,-0.772055984958185,8.283210149116561e-20,True
Factor1,Group_MDD1_HC2,0.24896621816513784,0.015531072919395813,False
Factor1,Factor1,1.0,0.0,True
Factor1,Factor2,-0.01841356824959054,0.8601742051285746,False
Factor1,Factor3,-0.04688221383952774,0.6536444278969965,False
Factor1,Factor4,-0.1692146199082655,0.10301145767667216,False
Factor1,Factor5,-0.36630214961035257,0.00028235972721423505,False
Factor1,BVAQ_New,-0.2674942604001797,0.009149087446443474,False
Factor1,BDI-II Sum score,-0.08732669359497916,0.40262861500472136,False
Factor1,STAI2,-0.14221544854391263,0.1715180434955235,False
Factor1,STAI1,-0.1198911666494147,0.2497353574194342,False
Factor1,WMS Correct Norm,-0.07636737497573926,0.4644299489287665,False
Factor1,WMS Correct,-0.009043582888558615,0.9310614997016803,False
Factor1,DigitSpan_Forwards_Span,0.06189893294025964,0.5534010637425656,False
Factor1,DigitSpan_ForwardsTotal Score,0.10554405924763995,0.31133384095309696,False
Factor1,DigitSpan_Backwards_Span,-0.0315214654695465,0.7629586631715428,False
Factor1,DigitSpan_Backwards_Total Score,-0.02561592630513865,0.8064000330940947,False
Factor1,DERS_Total Score,-0.16216043364182317,0.11840059424494769,False
Factor1,DERS_Total Score Norm,-0.13394732201672543,0.19805937240997418,False
Factor1,DERS_Non-Acceptance of Emotional Reactions Norm,-0.03515756467053099,0.7365628364881449,False
Factor1,DERS_Problems with Goal-Oriented Behavior Norm,-0.2267878730518357,0.027942293293986505,False
Factor1,DERS_Impulse Control Problems Norm,0.012109169438030287,0.907782406938653,False
Factor1,DERS_Lack of Emotional Awareness Norm,0.055701648208994294,0.5938702367853208,False
Factor1,DERS_Limited Access to Emotion Regulation Strategies Norm,-0.14277687866589459,0.16981574001133387,False
Factor1,DERS_Lack of Emotional Clarity Norm,-0.2529101308960217,0.013918119060053358,False
Factor1,DERS_Non-Acceptance of Emotional Reactions,-0.01130133747609271,0.9139100854235269,False
Factor1,DERS_Problems with Goal-Oriented Behavior,-0.22324002258061515,0.030556080880929346,False
Factor1,DERS_Impulse Control Problems,-0.04264520731184421,0.6831897690472434,False
Factor1,DERS_Lack of Emotional Awareness,-0.09319248444386698,0.3716474433217052,False
Factor1,DERS_Limited Access to Emotion Regulation Strategies,-0.14711150738064668,0.15709013030273383,False
Factor1,DERS_Lack of Emotional Clarity,-0.26040405668274635,0.011250387563743273,False
Factor1,CERQ_Self-Blame Norm,-0.14036818046187616,0.17720777805350796,False
Factor1,CERQ_Acceptance Norm,-0.06419767545913073,0.5387355392288338,False
Factor1,CERQ_Rumination Norm,-0.10724399807682874,0.30356060193781326,False
Factor1,CERQ_Positive Refocusing Norm,0.1940851034284247,0.06087349583332893,False
Factor1,CERQ_Refocusing on Planning Norm,0.21419715595502306,0.03816687316509051,False
Factor1,CERQ_Positive Reappraisal Norm,0.2703094791656877,0.008415563178343221,False
Factor1,CERQ_Putting into Perspective Norm,0.3127441991438518,0.0021479761931999493,False
Factor1,CERQ_Catastrophizing Norm,-0.10141898925106774,0.33072830578930945,False
Factor1,CERQ_Other-Blame Norm,-0.1020193201073544,0.3278589709318494,False
Factor1,CERQ_Self-Blame,-0.14036818046187616,0.17720777805350796,False
Factor1,CERQ_Acceptance,-0.06419697807289111,0.5387399591777936,False
Factor1,CERQ_Rumination,-0.10724695204777354,0.3035472058214713,False
Factor1,CERQ_Positive Refocusing,0.19408244426311033,0.06087710170726398,False
Factor1,CERQ_Refocusing on Planning,0.21419434661342301,0.03816946374544599,False
Factor1,CERQ_Positive Reappraisal,0.27030947916568754,0.008415563178343221,False
Factor1,CERQ_Putting into Perspective,0.3127414791852781,0.0021481783405542586,False
Factor1,CERQ_Catastrophizing,-0.10141993117651321,0.33072379129270535,False
Factor1,CERQ_Other-Blame,-0.10202020328241954,0.32785476145689296,False
Factor2,Age,0.059347599341438045,0.5699000259524332,False
Factor2,Sex_f1_m2,0.20991032662785622,0.04229468484892794,False
Factor2,Group_MDD1_HC2,0.5790805830849098,9.708421559522068e-10,True
Factor2,Factor1,-0.01841356824959054,0.8601742051285746,False
Factor2,Factor2,1.0,0.0,True
Factor2,Factor3,0.08359808991299406,0.42308965978223795,False
Factor2,Factor4,-0.05605538361190755,0.5915248485239218,False
Factor2,Factor5,-0.6369584186527815,5.151719320315934e-12,True
Factor2,BVAQ_New,-0.08732734168565807,0.402625110057784,False
Factor2,BDI-II Sum score,-0.4395934427181663,9.299389778057998e-06,True
Factor2,STAI2,-0.4539176812242477,4.3280952648301625e-06,True
Factor2,STAI1,-0.365795868398884,0.00028832376238805253,False
Factor2,WMS Correct Norm,0.03808547617978524,0.715526421764297,False
Factor2,WMS Correct,-0.010320709286705101,0.921355216693621,False
Factor2,DigitSpan_Forwards_Span,0.05271501332923202,0.6138371973471198,False
Factor2,DigitSpan_ForwardsTotal Score,0.07953310718128344,0.44606419737415626,False
Factor2,DigitSpan_Backwards_Span,-0.0003869350603477702,0.9970468129310199,False
Factor2,DigitSpan_Backwards_Total Score,0.023558449291889244,0.8216814723832622,False
Factor2,DERS_Total Score,-0.4466267399645339,6.41561317770436e-06,True
Factor2,DERS_Total Score Norm,-0.4523934470370758,4.702830784677589e-06,True
Factor2,DERS_Non-Acceptance of Emotional Reactions Norm,-0.2933505286352446,0.004111213036693234,False
Factor2,DERS_Problems with Goal-Oriented Behavior Norm,-0.3771576411743213,0.00017887137628432297,False
Factor2,DERS_Impulse Control Problems Norm,-0.34908050702735366,0.0005640749316103645,False
Factor2,DERS_Lack of Emotional Awareness Norm,-0.23803781370135763,0.020871693848755122,False
Factor2,DERS_Limited Access to Emotion Regulation Strategies Norm,-0.47548922820956624,1.27902691535887e-06,True
Factor2,DERS_Lack of Emotional Clarity Norm,-0.3406528646658345,0.0007804404275863035,False
Factor2,DERS_Non-Acceptance of Emotional Reactions,-0.3042398068131343,0.0028706518124970567,False
Factor2,DERS_Problems with Goal-Oriented Behavior,-0.38009788856435045,0.0001576285550915536,False
Factor2,DERS_Impulse Control Problems,-0.3367310308289723,0.0009049601379601062,False
Factor2,DERS_Lack of Emotional Awareness,-0.19784644285515157,0.055944544206426985,False
Factor2,DERS_Limited Access to Emotion Regulation Strategies,-0.47417438467440404,1.3809936193749171e-06,True
Factor2,DERS_Lack of Emotional Clarity,-0.3394190219130608,0.000817816701551295,False
Factor2,CERQ_Self-Blame Norm,-0.32822409847660683,0.0012394645449241347,False
Factor2,CERQ_Acceptance Norm,-0.01901485683137354,0.8556567841362104,False
Factor2,CERQ_Rumination Norm,-0.1816225957443263,0.07978449254329074,False
Factor2,CERQ_Positive Refocusing Norm,0.1808044730291849,0.0811742297331149,False
Factor2,CERQ_Refocusing on Planning Norm,0.263316228076386,0.01034110975967898,False
Factor2,CERQ_Positive Reappraisal Norm,0.3434093443479315,0.0007025084803690116,False
Factor2,CERQ_Putting into Perspective Norm,0.2850860232215991,0.005351566709214326,False
Factor2,CERQ_Catastrophizing Norm,-0.21404625225049864,0.038306234457981536,False
Factor2,CERQ_Other-Blame Norm,-0.05992421841554758,0.5661510370044484,False
Factor2,CERQ_Self-Blame,-0.3282240984766068,0.0012394645449241347,False
Factor2,CERQ_Acceptance,-0.019015793634250298,0.8556497496191263,False
Factor2,CERQ_Rumination,-0.18162480483636625,0.07978076589574928,False
Factor2,CERQ_Positive Refocusing,0.18080095200661384,0.08118025235790616,False
Factor2,CERQ_Refocusing on Planning,0.2633204594016132,0.010339836843306447,False
Factor2,CERQ_Positive Reappraisal,0.34340934434793147,0.0007025084803690116,False
Factor2,CERQ_Putting into Perspective,0.28508572068871085,0.005351617618585671,False
Factor2,CERQ_Catastrophizing,-0.21404531778723399,0.03830709876922392,False
Factor2,CERQ_Other-Blame,-0.05992344354304629,0.5661560671506685,False
Factor3,Age,-0.06556481181673338,0.5301053301144625,False
Factor3,Sex_f1_m2,-0.11014303339454011,0.2905994414450925,False
Factor3,Group_MDD1_HC2,-0.0798714996073191,0.4441254075406798,False
Factor3,Factor1,-0.04688221383952774,0.6536444278969965,False
Factor3,Factor2,0.08359808991299406,0.42308965978223795,False
Factor3,Factor3,1.0,0.0,True
Factor3,Factor4,-0.06715150615765203,0.5201765082102467,False
Factor3,Factor5,-0.10890580377931784,0.2960854174699989,False
Factor3,BVAQ_New,0.074236433362282,0.47702177492870385,False
Factor3,BDI-II Sum score,0.14414948386961307,0.1657063996877695,False
Factor3,STAI2,0.12676691503930315,0.22340454857521705,False
Factor3,STAI1,0.18191365279361757,0.07929468866223872,False
Factor3,WMS Correct Norm,-0.054708202313870476,0.60047939659607,False
Factor3,WMS Correct,0.002261064332307602,0.9827442648608323,False
Factor3,DigitSpan_Forwards_Span,-0.028808474069092434,0.7828333472797097,False
Factor3,DigitSpan_ForwardsTotal Score,-0.07999477591334775,0.4434202843314293,False
Factor3,DigitSpan_Backwards_Span,0.05337148437189391,0.6094234774281142,False
Factor3,DigitSpan_Backwards_Total Score,-0.0017385576095138248,0.9867314566850487,False
Factor3,DERS_Total Score,0.10760388156979585,0.3019313915227729,False
Factor3,DERS_Total Score Norm,0.10221768631719814,0.3269143648386558,False
Factor3,DERS_Non-Acceptance of Emotional Reactions Norm,0.10952163762427142,0.2933462960408707,False
Factor3,DERS_Problems with Goal-Oriented Behavior Norm,0.004033052412148183,0.9692261547308801,False
Factor3,DERS_Impulse Control Problems Norm,0.07167003765006091,0.49242747346923393,False
Factor3,DERS_Lack of Emotional Awareness Norm,0.23888388955504203,0.020408330443457513,False
Factor3,DERS_Limited Access to Emotion Regulation Strategies Norm,0.039366558545891404,0.7063874469575923,False
Factor3,DERS_Lack of Emotional Clarity Norm,0.10254308167147291,0.32536862391690163,False
Factor3,DERS_Non-Acceptance of Emotional Reactions,0.12233044472719745,0.24016037319159492,False
Factor3,DERS_Problems with Goal-Oriented Behavior,0.0018819014632298428,0.9856375787781854,False
Factor3,DERS_Impulse Control Problems,0.06097738730497985,0.5593338855956765,False
Factor3,DERS_Lack of Emotional Awareness,0.21785208120887636,0.03491881733336194,False
Factor3,DERS_Limited Access to Emotion Regulation Strategies,0.0379275617396829,0.7166557628081677,False
Factor3,DERS_Lack of Emotional Clarity,0.10387332904862219,0.31909821264674865,False
Factor3,CERQ_Self-Blame Norm,0.12742580588372143,0.22098798364965194,False
Factor3,CERQ_Acceptance Norm,-0.07570666536384166,0.4683145319138325,False
Factor3,CERQ_Rumination Norm,0.04737057752462137,0.6502719813238865,False
Factor3,CERQ_Positive Refocusing Norm,0.041837113554973646,0.6888810788492651,False
Factor3,CERQ_Refocusing on Planning Norm,-0.05694366805514884,0.5856537509754228,False
Factor3,CERQ_Positive Reappraisal Norm,-0.04373948335317623,0.6755111064813534,False
Factor3,CERQ_Putting into Perspective Norm,-0.06664748190101157,0.523320215274673,False
Factor3,CERQ_Catastrophizing Norm,0.24595400414441393,0.01686964864767451,False
Factor3,CERQ_Other-Blame Norm,0.016147504227456873,0.8772382137975595,False
Factor3,CERQ_Self-Blame,0.12742580588372143,0.22098798364965194,False
Factor3,CERQ_Acceptance,-0.075707634124555,0.46830882324873563,False
Factor3,CERQ_Rumination,0.04736876799714082,0.6502844642653042,False
Factor3,CERQ_Positive Refocusing,0.04183903262729957,0.6888675423540487,False
Factor3,CERQ_Refocusing on Planning,-0.05694374861205705,0.5856532197449267,False
Factor3,CERQ_Positive Reappraisal,-0.043739483353176234,0.6755111064813534,False
Factor3,CERQ_Putting into Perspective,-0.06664809366640516,0.5233163937587534,False
Factor3,CERQ_Catastrophizing,0.24595382638599403,0.01686973049002828,False
Factor3,CERQ_Other-Blame,0.01614955856210701,0.8772227174986784,False
Factor4,Age,0.04657004747037601,0.6558037816386385,False
Factor4,Sex_f1_m2,0.14096635577440692,0.17535041065334656,False
Factor4,Group_MDD1_HC2,-0.10922149912029144,0.29467916348579803,False
Factor4,Factor1,-0.1692146199082655,0.10301145767667216,False
Factor4,Factor2,-0.05605538361190755,0.5915248485239218,False
Factor4,Factor3,-0.06715150615765203,0.5201765082102467,False
Factor4,Factor4,1.0,0.0,True
Factor4,Factor5,0.05678612074901106,0.5866931134476492,False
Factor4,BVAQ_New,-0.038682277565997236,0.7112638820984235,False
Factor4,BDI-II Sum score,-0.001959160873801488,0.9850480118050179,False
Factor4,STAI2,0.13508956496848054,0.19422640003836386,False
Factor4,STAI1,-0.04698087878719784,0.6529625229017767,False
Factor4,WMS Correct Norm,0.16848446410930304,0.10452778332998214,False
Factor4,WMS Correct,0.13924281395242846,0.18074109726216284,False
Factor4,DigitSpan_Forwards_Span,0.029681011852247564,0.7764254531202169,False
Factor4,DigitSpan_ForwardsTotal Score,0.061791588433267076,0.5540905738033105,False
Factor4,DigitSpan_Backwards_Span,-0.0693038916115436,0.5068602309349597,False
Factor4,DigitSpan_Backwards_Total Score,-0.061589516558324224,0.5553896707503228,False
Factor4,DERS_Total Score,0.0668797461854926,0.5218703428042961,False
Factor4,DERS_Total Score Norm,0.06504310546324173,0.533390495122304,False
Factor4,DERS_Non-Acceptance of Emotional Reactions Norm,0.15982835242432747,0.12386048644491285,False
Factor4,DERS_Problems with Goal-Oriented Behavior Norm,0.08509710399870378,0.4147926721762283,False
Factor4,DERS_Impulse Control Problems Norm,0.0626241059887708,0.5487538958155677,False
Factor4,DERS_Lack of Emotional Awareness Norm,-0.07350252686623227,0.4814006287167154,False
Factor4,DERS_Limited Access to Emotion Regulation Strategies Norm,0.019867808664806544,0.8492566490310234,False
Factor4,DERS_Lack of Emotional Clarity Norm,0.04061183894694842,0.6975435943163566,False
Factor4,DERS_Non-Acceptance of Emotional Reactions,0.14699735244129528,0.15741588379384278,False
Factor4,DERS_Problems with Goal-Oriented Behavior,0.08559617690915038,0.41205145963033757,False
Factor4,DERS_Impulse Control Problems,0.07487833911553232,0.4732094965740965,False
Factor4,DERS_Lack of Emotional Awareness,-0.04643980248177701,0.6567055660661789,False
Factor4,DERS_Limited Access to Emotion Regulation Strategies,0.020735379326425395,0.842756833639723,False
Factor4,DERS_Lack of Emotional Clarity,0.041298787543864394,0.6926821056256296,False
Factor4,CERQ_Self-Blame Norm,-0.059356079114393896,0.5698448089690172,False
Factor4,CERQ_Acceptance Norm,-0.10592551343662718,0.30957844461890244,False
Factor4,CERQ_Rumination Norm,0.1415081667132598,0.17368042364970682,False
Factor4,CERQ_Positive Refocusing Norm,-0.1015020593869514,0.3303303148251717,False
Factor4,CERQ_Refocusing on Planning Norm,0.019734827856951315,0.8502538404443264,False
Factor4,CERQ_Positive Reappraisal Norm,-0.11883238290145456,0.25397200004215126,False
Factor4,CERQ_Putting into Perspective Norm,-0.1428703617394556,0.16953350558593513,False
Factor4,CERQ_Catastrophizing Norm,0.0628465862807327,0.5473319706341977,False
Factor4,CERQ_Other-Blame Norm,0.1275831542378148,0.22041362554235927,False
