Speech Feature;Questionnaire;N;Interaction Term;Interaction Coeff;Interaction p-Value;p_adj;significant
loudness_mean_pos;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;1.165787255156884;0.024008964253387877;0.6377185046136916;False
word_frequency_mean_pos;BVAQ;94;BVAQ:Group_recode;-0.0166806939285689;0.01930194476956679;0.6377185046136916;False
positive_sentence_ratio_pos;DERS_Non_Acceptance_of_Emotional_Reactions;94;DERS_Non_Acceptance_of_Emotional_Reactions:Group_recode;-0.03325644194145788;0.017778072073451508;0.6377185046136916;False
loudness_mean_pos;BVAQ;94;BVAQ:Group_recode;0.41164244738199135;0.016977931593934136;0.6377185046136916;False
number_of_pauses_pos;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;-8.194920984071164;0.013364193174682059;0.6377185046136916;False
negative_sentence_ratio_pos;BVAQ;94;BVAQ:Group_recode;0.010151089656223935;0.013305340501608115;0.6377185046136916;False
word_count_pos;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;-12.436297537948855;0.007727967105538516;0.6377185046136916;False
pause_durations_sum_pos;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;-2.1544294739470216;0.006536600768126466;0.6377185046136916;False
neutral_sentence_ratio_neg;DERS_Impulse_Control_Problems;94;DERS_Impulse_Control_Problems:Group_recode;-0.03227426215607872;0.005977095936173224;0.6377185046136916;False
positive_sentence_ratio_neg;DERS_Impulse_Control_Problems;94;DERS_Impulse_Control_Problems:Group_recode;0.025352869502013233;0.03561850877921471;0.6377185046136916;False
number_of_pauses_neg;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;-13.403010410676256;0.04211406444240206;0.6377185046136916;False
neutral_sentence_ratio_neg;CERQ_Positive_Refocusing;94;CERQ_Positive_Refocusing:Group_recode;0.032999707094334876;0.03837748578604311;0.6377185046136916;False
word_frequency_mean_pos;CERQ_Positive_Reappraisal;94;CERQ_Positive_Reappraisal:Group_recode;0.03931476204000531;0.03633544491414635;0.6377185046136916;False
neutral_sentence_ratio_pos;CERQ_Positive_Refocusing;94;CERQ_Positive_Refocusing:Group_recode;0.047444823727424874;0.025317740405106353;0.6377185046136916;False
duration_neg;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;-9.124945992858757;0.03198481725487443;0.6377185046136916;False
loudness_mean_pos;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;0.5876263073589837;0.08279243644571968;0.6470007337879878;False
duration_pos;DERS_Non_Acceptance_of_Emotional_Reactions;94;DERS_Non_Acceptance_of_Emotional_Reactions:Group_recode;-1.866484502108627;0.08338453093679181;0.6470007337879878;False
number_of_pauses_neg;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;-11.495609655875963;0.07866021402796419;0.6470007337879878;False
number_of_pauses_neg;DERS_Limited_Access_to_Emotion_Regulation_Strategies;94;DERS_Limited_Access_to_Emotion_Regulation_Strategies:Group_recode;-6.429601060840786;0.07970879210446839;0.6470007337879878;False
neutral_sentence_ratio_pos;CERQ_Positive_Reappraisal;94;CERQ_Positive_Reappraisal:Group_recode;0.0371254167317879;0.08411009539243842;0.6470007337879878;False
word_frequency_mean_neg;CERQ_Catastrophizing;94;CERQ_Catastrophizing:Group_recode;-0.02916616787395654;0.11266922999651188;0.6685174063718828;False
pause_durations_sum_pos;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;-1.1057201893940118;0.11269538499637503;0.6685174063718828;False
word_count_neg;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;-14.977245453865644;0.12503626202988152;0.6685174063718828;False
pause_durations_mean_neg;CERQ_Catastrophizing;94;CERQ_Catastrophizing:Group_recode;-0.03627387687495471;0.1272094741884821;0.6685174063718828;False
loudness_mean_neg;CERQ_Rumination;94;CERQ_Rumination:Group_recode;-0.9631193559781179;0.1273279138725546;0.6685174063718828;False
positive_sentence_ratio_pos;STAI1;94;STAI1:Group_recode;0.01420469639250825;0.1282597447129394;0.6685174063718828;False
duration_neg;BVAQ;94;BVAQ:Group_recode;-2.2741638289619344;0.11309543359505733;0.6685174063718828;False
duration_pos;DERS_Limited_Access_to_Emotion_Regulation_Strategies;94;DERS_Limited_Access_to_Emotion_Regulation_Strategies:Group_recode;-1.493109987100936;0.11570312197270684;0.6685174063718828;False
neutral_sentence_ratio_neg;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;0.02407422454787416;0.119783650994599;0.6685174063718828;False
negative_sentence_ratio_pos;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;0.01247405944717949;0.12262574583492354;0.6685174063718828;False
duration_pos;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;2.5348205813267866;0.09116951570249256;0.6685174063718828;False
word_frequency_mean_neg;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;-0.02177151091864246;0.09352404215416722;0.6685174063718828;False
word_frequency_mean_neg;BVAQ;94;BVAQ:Group_recode;0.0069363090413405055;0.17096929520449367;0.6685174063718828;False
negative_sentence_ratio_pos;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;0.016300450208052826;0.16866743010168606;0.6685174063718828;False
number_of_pauses_pos;CERQ_Rumination;94;CERQ_Rumination:Group_recode;4.880737835327286;0.16733841450976839;0.6685174063718828;False
word_count_neg;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;-11.905747058578369;0.16457242434701846;0.6685174063718828;False
negative_sentence_ratio_neg;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;0.02130206922402763;0.16277590108101758;0.6685174063718828;False
pause_durations_sum_pos;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;-0.7386958906703698;0.16175944715120621;0.6685174063718828;False
word_count_pos;CERQ_Rumination;94;CERQ_Rumination:Group_recode;7.055347964239549;0.1609964607559141;0.6685174063718828;False
word_count_neg;CERQ_Positive_Refocusing;94;CERQ_Positive_Refocusing:Group_recode;-12.884971343810758;0.15633903502397362;0.6685174063718828;False
duration_neg;DERS_Total_Score;94;DERS_Total_Score:Group_recode;-1.0714923284982698;0.15411440247251015;0.6685174063718828;False
loudness_mean_neg;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;0.5803775096964441;0.15258093796873098;0.6685174063718828;False
positive_sentence_ratio_pos;CERQ_Catastrophizing;94;CERQ_Catastrophizing:Group_recode;-0.03835186187000929;0.17463108663688465;0.6685174063718828;False
number_of_pauses_neg;DERS_Non_Acceptance_of_Emotional_Reactions;94;DERS_Non_Acceptance_of_Emotional_Reactions:Group_recode;-5.747329732828717;0.1747643440511053;0.6685174063718828;False
word_count_neg;STAI1;94;STAI1:Group_recode;-5.539098742450426;0.17736418614772806;0.6685174063718828;False
positive_sentence_ratio_pos;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;-0.030032094579133174;0.17797690584115342;0.6685174063718828;False
neutral_sentence_ratio_pos;DERS_Problems_with_Goal_Oriented_Behavior;94;DERS_Problems_with_Goal_Oriented_Behavior:Group_recode;0.02573052965385448;0.17535781688227034;0.6685174063718828;False
number_of_pauses_pos;DERS_Limited_Access_to_Emotion_Regulation_Strategies;94;DERS_Limited_Access_to_Emotion_Regulation_Strategies:Group_recode;-2.5450299659537503;0.17703216361335286;0.6685174063718828;False
word_count_neg;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;11.450598874871599;0.1888561673000569;0.6685174063718828;False
pause_durations_mean_pos;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;-0.028092602017024383;0.1826862127047116;0.6685174063718828;False
pause_durations_sum_pos;CERQ_Positive_Refocusing;94;CERQ_Positive_Refocusing:Group_recode;-0.9967408557362297;0.18339300683378812;0.6685174063718828;False
number_of_pauses_neg;CERQ_Positive_Refocusing;94;CERQ_Positive_Refocusing:Group_recode;-8.21437628076523;0.1840149644661199;0.6685174063718828;False
number_of_pauses_pos;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;-4.4477124814225135;0.1847917440484535;0.6685174063718828;False
number_of_pauses_pos;STAI1;94;STAI1:Group_recode;-1.8508765242671146;0.1858100102397327;0.6685174063718828;False
positive_sentence_ratio_pos;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;-0.026666296738867765;0.18004277753300774;0.6685174063718828;False
duration_pos;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;-2.3015225990235066;0.180460351159838;0.6685174063718828;False
word_frequency_mean_pos;DERS_Problems_with_Goal_Oriented_Behavior;94;DERS_Problems_with_Goal_Oriented_Behavior:Group_recode;0.022879261636395698;0.18185277710642636;0.6685174063718828;False
duration_neg;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;-5.78309402368926;0.1874140493260281;0.6685174063718828;False
loudness_mean_pos;DERS_Total_Score;94;DERS_Total_Score:Group_recode;0.11573105434029857;0.18599011528290246;0.6685174063718828;False
negative_sentence_ratio_neg;CERQ_Catastrophizing;94;CERQ_Catastrophizing:Group_recode;0.03127513762449128;0.10555637413866667;0.6685174063718828;False
word_count_pos;STAI2;94;STAI2:Group_recode;-3.116470384328474;0.10702690436547233;0.6685174063718828;False
number_of_pauses_neg;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;9.38065250973007;0.1108052522912747;0.6685174063718828;False
pause_durations_sum_neg;DERS_Limited_Access_to_Emotion_Regulation_Strategies;94;DERS_Limited_Access_to_Emotion_Regulation_Strategies:Group_recode;-2.358067978553548;0.11203777112593216;0.6685174063718828;False
word_count_neg;DERS_Total_Score;94;DERS_Total_Score:Group_recode;-2.6720352012329633;0.11257671649480894;0.6685174063718828;False
neutral_sentence_ratio_neg;DERS_Limited_Access_to_Emotion_Regulation_Strategies;94;DERS_Limited_Access_to_Emotion_Regulation_Strategies:Group_recode;-0.014510015265294775;0.14376958535662315;0.6685174063718828;False
word_count_pos;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;-6.00985195158783;0.14751999238187483;0.6685174063718828;False
word_count_pos;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;-6.845960848875753;0.14868391218030444;0.6685174063718828;False
pause_durations_sum_pos;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;-1.1897314435353044;0.1502639726352408;0.6685174063718828;False
word_count_pos;STAI1;94;STAI1:Group_recode;-2.85114516208756;0.1509479732283237;0.6685174063718828;False
word_count_neg;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;-9.439800217365079;0.15140188438829433;0.6685174063718828;False
duration_neg;CERQ_Positive_Refocusing;94;CERQ_Positive_Refocusing:Group_recode;-6.690647231121981;0.09452478380259484;0.6685174063718828;False
duration_pos;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;-1.859688920955933;0.09558356050491902;0.6685174063718828;False
negative_sentence_ratio_pos;CERQ_Putting_into_Perspective;94;CERQ_Putting_into_Perspective:Group_recode;-0.01768189540202623;0.09923081444958165;0.6685174063718828;False
word_count_pos;DERS_Non_Acceptance_of_Emotional_Reactions;94;DERS_Non_Acceptance_of_Emotional_Reactions:Group_recode;-4.925495187198839;0.1013628293124458;0.6685174063718828;False
duration_pos;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;-2.231372872429613;0.1321564497140912;0.6685174063718828;False
pause_durations_sum_pos;DERS_Limited_Access_to_Emotion_Regulation_Strategies;94;DERS_Limited_Access_to_Emotion_Regulation_Strategies:Group_recode;-0.6792907948397675;0.13301892093302253;0.6685174063718828;False
word_frequency_mean_pos;DERS_Non_Acceptance_of_Emotional_Reactions;94;DERS_Non_Acceptance_of_Emotional_Reactions:Group_recode;-0.019739565326271795;0.13496257929133315;0.6685174063718828;False
negative_sentence_ratio_pos;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;0.015344056246043526;0.14322632897933354;0.6685174063718828;False
word_frequency_mean_pos;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;0.026756326839170813;0.1433713976609199;0.6685174063718828;False
word_count_pos;DERS_Limited_Access_to_Emotion_Regulation_Strategies;94;DERS_Limited_Access_to_Emotion_Regulation_Strategies:Group_recode;-3.915665139573047;0.1433967316926154;0.6685174063718828;False
neutral_sentence_ratio_pos;CERQ_Putting_into_Perspective;94;CERQ_Putting_into_Perspective:Group_recode;0.0337768326909716;0.10474535048890592;0.6685174063718828;False
duration_pos;CERQ_Rumination;94;CERQ_Rumination:Group_recode;2.34733469397231;0.19146866553833555;0.6718198790818792;False
positive_sentence_ratio_pos;CERQ_Positive_Refocusing;94;CERQ_Positive_Refocusing:Group_recode;-0.026880754655944326;0.1935612210948219;0.6732564211993806;False
pause_durations_sum_neg;BVAQ;94;BVAQ:Group_recode;-1.1421524861650612;0.19641695599161366;0.6746033999998999;False
duration_neg;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;-4.892109670544402;0.19732149449997072;0.6746033999998999;False
number_of_pauses_neg;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;-7.43990510454969;0.20241309231123567;0.6773546489711275;False
positive_sentence_ratio_neg;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;-0.01944284573491383;0.20320639469133825;0.6773546489711275;False
loudness_mean_neg;BDI;94;BDI:Group_recode;0.5385038721989914;0.20233953093755205;0.6773546489711275;False
negative_sentence_ratio_neg;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;-0.017118266171847373;0.21062662632964171;0.6849646384703796;False
pause_durations_mean_pos;STAI1;94;STAI1:Group_recode;0.012679060836922204;0.2072933651259714;0.6849646384703796;False
number_of_pauses_pos;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;-3.6774327625450627;0.20970351315637936;0.6849646384703796;False
duration_pos;STAI2;94;STAI2:Group_recode;-0.8675177983674734;0.21377145984684698;0.6870363505661177;False
loudness_mean_neg;DERS_Total_Score;94;DERS_Total_Score:Group_recode;0.12904162784286236;0.21469885955191176;0.6870363505661177;False
loudness_mean_neg;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;0.7522375219049949;0.22666111383556067;0.7076159256489019;False
pause_durations_mean_neg;DERS_Impulse_Control_Problems;94;DERS_Impulse_Control_Problems:Group_recode;-0.015738343873575325;0.2269674076010334;0.7076159256489019;False
negative_sentence_ratio_pos;DERS_Problems_with_Goal_Oriented_Behavior;94;DERS_Problems_with_Goal_Oriented_Behavior:Group_recode;-0.011633650505023439;0.2246354667693924;0.7076159256489019;False
positive_sentence_ratio_neg;DERS_Problems_with_Goal_Oriented_Behavior;94;DERS_Problems_with_Goal_Oriented_Behavior:Group_recode;0.01752794522843889;0.22820613602177084;0.7076159256489019;False
positive_sentence_ratio_neg;DERS_Non_Acceptance_of_Emotional_Reactions;94;DERS_Non_Acceptance_of_Emotional_Reactions:Group_recode;-0.013354164151618705;0.2376157121185257;0.7260452538461469;False
loudness_mean_pos;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;0.5223474771054804;0.23777982063461314;0.7260452538461469;False
word_frequency_mean_pos;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;-0.01667502641289153;0.24129662112267686;0.7312018821899299;False
pause_durations_mean_pos;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;0.018616889950400867;0.25342982370750083;0.7452515627240672;False
word_count_neg;CERQ_Catastrophizing;94;CERQ_Catastrophizing:Group_recode;-14.078797257282213;0.24928884497438153;0.7452515627240672;False
word_frequency_mean_neg;CERQ_Putting_into_Perspective;94;CERQ_Putting_into_Perspective:Group_recode;0.015005942994616092;0.25604516370303165;0.7452515627240672;False
word_count_pos;CERQ_Catastrophizing;94;CERQ_Catastrophizing:Group_recode;-6.700763295314109;0.2569286358668728;0.7452515627240672;False
neutral_sentence_ratio_pos;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;-0.026595603377057495;0.25798818656183914;0.7452515627240672;False
neutral_sentence_ratio_pos;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;0.0230800433613369;0.25837848004754266;0.7452515627240672;False
number_of_pauses_neg;STAI1;94;STAI1:Group_recode;-3.159767066565596;0.2600612893482619;0.7452515627240672;False
duration_pos;STAI1;94;STAI1:Group_recode;-0.801568946261252;0.2608380469534235;0.7452515627240672;False
pause_durations_sum_neg;DERS_Lack_of_Emotional_Clarity;94;DERS_Lack_of_Emotional_Clarity:Group_recode;-3.0394808732216565;0.26427113256216567;0.7497053406018884;False
word_frequency_mean_neg;BDI;94;BDI:Group_recode;-0.011366297653243318;0.27024536928925663;0.7612545613781877;False
neutral_sentence_ratio_pos;STAI1;94;STAI1:Group_recode;-0.010496494252929473;0.2762224932957862;0.7674316420928974;False
pause_durations_mean_pos;BDI;94;BDI:Group_recode;-0.018187091319752744;0.2778504011317577;0.7674316420928974;False
loudness_mean_pos;CERQ_Positive_Reappraisal;94;CERQ_Positive_Reappraisal:Group_recode;-0.5058486981197099;0.27870782605601707;0.7674316420928974;False
loudness_mean_neg;DERS_Limited_Access_to_Emotion_Regulation_Strategies;94;DERS_Limited_Access_to_Emotion_Regulation_Strategies:Group_recode;0.36832695691654616;0.28085375596035667;0.7674316420928974;False
negative_sentence_ratio_pos;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;-0.01141599382906094;0.28394970757437205;0.7674316420928974;False
duration_neg;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;-3.1605187496493237;0.2827407369045825;0.7674316420928974;False
pause_durations_sum_pos;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;0.7668672344270394;0.28738355318256825;0.7714994716310557;False
neutral_sentence_ratio_neg;CERQ_Acceptance;94;CERQ_Acceptance:Group_recode;-0.017985487810963798;0.298642733027741;0.7963806214073094;False
pause_durations_sum_neg;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;-2.16526327434945;0.35229842633586506;0.8147637465475127;False
loudness_mean_neg;CERQ_Refocusing_on_Planning;94;CERQ_Refocusing_on_Planning:Group_recode;0.49679055596548505;0.35197704201186797;0.8147637465475127;False
neutral_sentence_ratio_neg;DERS_Total_Score;94;DERS_Total_Score:Group_recode;-0.002858162297766467;0.3503240842088401;0.8147637465475127;False
word_frequency_mean_neg;CERQ_Self_Blame;94;CERQ_Self_Blame:Group_recode;0.012066542444927053;0.35003465904026665;0.8147637465475127;False
negative_sentence_ratio_pos;STAI2;94;STAI2:Group_recode;0.0046305860634045255;0.3453820104236658;0.8147637465475127;False
negative_sentence_ratio_neg;DERS_Non_Acceptance_of_Emotional_Reactions;94;DERS_Non_Acceptance_of_Emotional_Reactions:Group_recode;0.009228369825246408;0.34481651397556046;0.8147637465475127;False
loudness_mean_pos;STAI2;94;STAI2:Group_recode;0.19302135842966572;0.34231407545874415;0.8147637465475127;False
positive_sentence_ratio_pos;DERS_Total_Score;94;DERS_Total_Score:Group_recode;-0.0037009778576880814;0.3419108376264871;0.8147637465475127;False
duration_neg;STAI1;94;STAI1:Group_recode;-1.7464538167137773;0.3404539088904831;0.8147637465475127;False
pause_durations_sum_neg;STAI1;94;STAI1:Group_recode;-1.0684623819087673;0.33927719172436754;0.8147637465475127;False
pause_durations_mean_neg;CERQ_Rumination;94;CERQ_Rumination:Group_recode;-0.01931824966285553;0.3369621695970688;0.8147637465475127;False
pause_durations_mean_neg;CERQ_Putting_into_Perspective;94;CERQ_Putting_into_Perspective:Group_recode;0.01675456630169526;0.33045277359244485;0.8147637465475127;False
pause_durations_sum_neg;DERS_Lack_of_Emotional_Awareness;94;DERS_Lack_of_Emotional_Awareness:Group_recode;-1.7497831859195117;0.33031710060580854;0.8147637465475127;False
pause_durations_sum_pos;CERQ_Rumination;94;CERQ_Rumination:Group_recode;0.834657390837946;0.327117636384583;0.8147637465475127;False
pause_durations_sum_neg;DERS_Total_Score;94;DERS_Total_Score:Group_recode;-0.4556913680112524;0.3261279269509866;0.8147637465475127;False
number_of_pauses_pos;STAI2;94;STAI2:Group_recode;-1.3723263609863066;0.31721673256549543;0.8147637465475127;False
loudness_mean_pos;CERQ_Rumination;94;CERQ_Rumination:Group_recode;-0.4828085623573264;0.36565277171305877;0.8147637465475127;False
word_count_pos;BVAQ;94;BVAQ:Group_recode;-1.4245450785192217;0.36568144215214893;0.8147637465475127;False
pause_durations_mean_pos;BVAQ;94;BVAQ:Group_recode;-0.007507286509725915;0.3661904255775962;0.8147637465475127;False
duration_neg;CERQ_Catastrophizing;94;CERQ_Catastrophizing:Group_recode;-4.916499551921549;0.36664368594638075;0.8147637465475127;False
pause_durations_mean_neg;DERS_Problems_with_Goal_Oriented_Behavior;94;DERS_Problems_with_Goal_Oriented_Behavior:Group_recode;-0.014203765342439422;0.36365924435155994;0.8147637465475127;False
word_count_neg;STAI2;94;STAI2:Group_recode;-3.658304497383753;0.36373038407212943;0.8147637465475127;False
neutral_sentence_ratio_pos;BVAQ;94;BVAQ:Group_recode;-0.007307145717415148;0.3638022224666271;0.8147637465475127;False
number_of_pauses_neg;CERQ_Putting_into_Perspective;94;CERQ_Putting_into_Perspective:Group_recode;5.449251238565859;0.36475113617417065;0.8147637465475127;False
word_count_neg;DERS_Non_Acceptance_of_Emotional_Reactions;94;DERS_Non_Acceptance_of_Emotional_Reactions:Group_recode;-5.725991347067981;0.36012142154986015;0.8147637465475127;False
word_frequency_mean_neg;CERQ_Positive_Refocusing;94;CERQ_Positive_Refocusing:Group_recode;0.012465727919081349;0.3566407422948694;0.8147637465475127;False
loudness_mean_neg;STAI1;94;STAI1:Group_recode;0.23162362749741539;0.35431570556805514;0.8147637465475127;False
neutral_sentence_ratio_pos;CERQ_Rumination;94;CERQ_Rumination:Group_recode;-0.022801182880547527;0.3524443823594121;0.8147637465475127;False
loudness_mean_neg;DERS_Impulse_Control_Problems;94;DERS_Impulse_Control_Problems:Group_recode;0.4040401608067541;0.3170881524153001;0.8147637465475127;False
